time; n; mu_gfp; std_gfp; rawData_gfp 
74.46; 62; 20.9677; 40.7078; {0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,100,0,100,0,0,0,0,0,0,100,0,100,0,0,0,100,0,100,0,0,0,0,0,100,100,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0}
75.48; 64; 23.4375; 42.3607; {0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,100,0,100,0,0,0,0,0,0,100,0,100,0,0,0,100,0,100,0,0,0,0,0,100,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0}
76.5; 65; 23.0769; 42.1325; {0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,100,0,100,0,0,0,0,0,0,100,0,100,0,0,0,100,0,100,0,0,0,0,0,100,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,0}
77.52; 62; 25.8065; 43.757; {0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,100,0,100,0,0,0,0,0,0,100,0,100,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,100,0,0,100,100,0,0,100}
78.54; 63; 25.3968; 43.528; {0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,100,0,100,0,0,0,0,0,0,100,0,100,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,100,0,0,100,100,0,0,100,0}
79.56; 64; 25; 43.3013; {0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,100,0,100,0,0,0,0,0,0,100,0,100,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,100,0,0,100,100,0,0,100,0,0}
80.58; 61; 24.5902; 43.0621; {0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,100,0,100,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,100,0,0,100,100,0,0,100,0,0}
81.6; 59; 25.4237; 43.5432; {0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,100,0,100,0,0,0,100,100,0,0,0,0,100,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,100,0,0,100,100,0,0,100,0,0}
82.62; 56; 26.7857; 44.2843; {0,0,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,100,0,0,0,100,100,0,0,0,0,100,100,0,0,0,100,0,0,0,0,0,100,0,0,0,100,0,0,100,100,0,0,100,0,0}
83.64; 53; 28.3019; 45.0466; {0,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,100,0,0,0,100,100,0,0,0,0,100,100,0,0,0,100,0,0,0,0,100,0,0,100,0,0,100,100,0,0,100,0,0}
84.66; 52; 28.8462; 45.3047; {0,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,0,100,0,0,100,0,0,100,100,0,100,0,0,0}
85.68; 49; 30.6122; 46.0881; {0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,0,100,0,0,100,0,100,100,0,100,0,0,0}
